timestamp,product_id,product_name,category,store,url,price,currency,in_stock,raw_price,error
2025-11-17T21:51:52.636679+00:00,memory-teamgroup-xtreem-6400-cl32-kabum,TeamGroup T-Force Xtreem 32GB 2x16GB DDR5-6400 CL32 EXPO,memory,kabum,https://www.pichau.com.br/memoria-team-group-t-force-delta-rgb-ddr5-32gb-2x16gb-6000mhz-preta-ff3d532g6000hc38adc01?gad_source=1&gad_campaignid=21085886798&gbraid=0AAAAADvAK90GcGbbr97yEeIcfvhT3jteg&gclid=EAIaIQobChMItfu30Nj1kAMV71lIAB0zqCe7EAQYASABEgKwQ_D_BwE,,BRL,True,,
2025-11-17T21:52:08.097182+00:00,memory-xpg-lancer-6000-cl30-kabum,XPG Lancer RGB 32GB 2x16GB DDR5-6000 CL30 EXPO,memory,kabum,https://www.kabum.com.br/produto/526516/memoria-ram-xpg-lancer-rgb-32gb-2x16gb-6000mhz-ddr5-cl30-preto-ax5u6000c3016g-dclarbk?gclsrc=aw.ds&&utm_id=22429436051&gad_source=1&gad_campaignid=22429436051&gbraid=0AAAAADx-HyFvNGnAJjRCs7gx61wwB-r9X&gclid=EAIaIQobChMIxK7s4Nj1kAMV3mJIAB33VThuEAQYASABEgKNFvD_BwE,1199.99,BRL,True,"R$ 1199,99",
2025-11-17T21:52:22.405906+00:00,memory-xpg-lancer-6000-cl30-pichau,XPG Lancer RGB 32GB 2x16GB DDR5-6000 CL30 EXPO,memory,amazon,https://www.amazon.com.br/XPG-6000MHz-PC5-48000-dissipador-AX5U6000C3016G-DTLABRBK/dp/B0CCK6P1HR?th=1,2198.5,BRL,True,"R$2.198,50",
2025-11-17T21:52:35.995986+00:00,memory-kingston-fury-beast-6000-cl30-kabum,Kingston Fury Beast RGB 32GB 2x16GB DDR5-6000 CL30 EXPO,memory,kabum,https://www.kabum.com.br/produto/616568/memoria-ram-kingston-fury-beast-expo-32gb-2x16gb-6000mt-s-ddr5-dimm-cl30-preto-kf560c30bbek2-32,1274.99,BRL,True,"R$ 1274,99",
2025-11-17T21:52:50.868880+00:00,cpu-ryzen-5-9600x,Processador AMD Ryzen 5 9600X,cpu,kabum,https://www.kabum.com.br/produto/609956/processador-amd-ryzen-5-9600x-3-9-ghz-5-4-ghz-cache-32-mb-6-nucleos-12-threads-am5-100-100001405wof,1489.99,BRL,True,"R$ 1489,99",
2025-11-17T21:53:05.537965+00:00,cpu-ryzen-5-9600x,Processador AMD Ryzen 5 9600X,cpu,amazon,https://www.amazon.com.br/PROCESSADOR-AM5-RYZEN-5-9600X/dp/B0D6NN6TM7,1489.99,BRL,True,"R$1.489,99",
2025-11-17T21:53:19.354466+00:00,cpu-ryzen-5-9600x,Processador AMD Ryzen 5 9600X,cpu,pichau,https://www.pichau.com.br/processador-amd-ryzen-5-9600x-6-core-12-threads-3-9ghz-5-4ghz-turbo-cache-38mb-am5-100-100001405wof,,BRL,False,,
2025-11-17T21:53:33.602695+00:00,cpu-ryzen-7-8700f,Processador AMD Ryzen 7 8700F,cpu,kabum,https://www.kabum.com.br/produto/571928/processador-amd-ryzen-7-8700f-4-1-ghz-5-0-ghz-max-turbo-cache-24mb-8-nucleos-16-threads-am5-100-100001590box,,BRL,False,,
2025-11-17T21:53:47.230337+00:00,cpu-ryzen-7-8700f,Processador AMD Ryzen 7 8700F,cpu,pichau,https://www.pichau.com.br/processador-amd-ryzen-7-8700f-8-cores-16-threads-4-1ghz-5-0ghz-turbo-cache-16mb-am5-100-100001590box,1389.99,BRL,True,"R$ 1.389,99",
2025-11-17T21:54:01.826517+00:00,cpu-ryzen-7-9700x,Processador AMD Ryzen 7 9700X,cpu,kabum,https://www.kabum.com.br/produto/609954/processador-amd-ryzen-7-9700x-3-8-ghz-5-5-ghz-cache-32-mb-8-nucleos-16-threads-am5-100-100001404wof,2199.99,BRL,True,"R$ 2199,99",
2025-11-17T21:54:14.923137+00:00,cpu-ryzen-7-9700x,Processador AMD Ryzen 7 9700X,cpu,amazon,https://www.amazon.com.br/PROCESSADOR-AM5-RYZEN-7-9700X/dp/B0D6NMDNNX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.vS_3StjYCcMkwGjmisVl4qjTrKmCQ2p_xkR0I_W2UISTzWdqVzUUqlF-bEo_JSZXlfRP3LQv7busbn6iAzrtFj4aNTcbDpmlYuvPaFgDEjo9evi5ewnh40yK-V6NwPCTkpBaXNCQ0dT2dKs2Yjl6ywDqpIOtW0UJGkf0Bx9Itb9RODkqZ76B5xWw733gi8ohVN3exzVKo4UM0AdTcrTr7lYnY-kiisHI6KC93RT80EYDQRg3YELWyn2cNzwV6d5-7wPI5d6R12Y4dvvLlUxGHOiZM26B4yd-nKepSYmATmw.jvi9rSYYV_HuCQb6J6Rk04z3JALQmMwi4Odn6OEIZGM&dib_tag=se&keywords=9700x&qid=1762999826&sr=8-1&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,2318.87,BRL,True,"R$2.318,87",
