timestamp,flight_id,origin,destination,departure_date,return_date,price,currency,airline,stops,duration,url
2025-11-17T13:33:36.287617-03:00,flight-italy-sep2026,GRU,FLR,2026-08-30,2026-09-13,4445.0,BRL,TAP,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:34:20.143774-03:00,flight-italy-sep2026,GRU,FLR,2026-08-31,2026-09-14,4445.0,BRL,Air France,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:34:20.175151-03:00,flight-italy-sep2026,GRU,FLR,2026-08-31,2026-09-14,4445.0,BRL,Gol,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:34:20.191005-03:00,flight-italy-sep2026,GRU,FLR,2026-08-31,2026-09-14,4445.0,BRL,TAP,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:35:48.067052-03:00,flight-italy-sep2026,GRU,FLR,2026-09-02,2026-09-16,4445.0,BRL,Air France,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:35:48.086083-03:00,flight-italy-sep2026,GRU,FLR,2026-09-02,2026-09-16,4445.0,BRL,Gol,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:35:48.099853-03:00,flight-italy-sep2026,GRU,FLR,2026-09-02,2026-09-16,4445.0,BRL,TAP,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:36:31.785040-03:00,flight-italy-sep2026,GRU,FLR,2026-09-03,2026-09-17,4445.0,BRL,Air France,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:36:31.800800-03:00,flight-italy-sep2026,GRU,FLR,2026-09-03,2026-09-17,4445.0,BRL,Gol,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:36:31.816687-03:00,flight-italy-sep2026,GRU,FLR,2026-09-03,2026-09-17,4445.0,BRL,TAP,1,15h 50m,https://www.google.com/travel/flights?q=GRU%20to%20FLR%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:38:00.880088-03:00,flight-italy-sep2026,GRU,VCE,2026-08-31,2026-09-14,4454.0,BRL,Air France,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:38:00.895851-03:00,flight-italy-sep2026,GRU,VCE,2026-08-31,2026-09-14,4454.0,BRL,Gol,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:38:00.912010-03:00,flight-italy-sep2026,GRU,VCE,2026-08-31,2026-09-14,4454.0,BRL,TAP,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:37:16.393223-03:00,flight-italy-sep2026,GRU,VCE,2026-08-30,2026-09-13,4458.0,BRL,Air France,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:37:16.425399-03:00,flight-italy-sep2026,GRU,VCE,2026-08-30,2026-09-13,4458.0,BRL,LATAM,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:37:16.447545-03:00,flight-italy-sep2026,GRU,VCE,2026-08-30,2026-09-13,4458.0,BRL,Gol,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:38:45.469612-03:00,flight-italy-sep2026,GRU,VCE,2026-09-01,2026-09-15,4458.0,BRL,Air France,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
2025-11-17T13:38:45.492614-03:00,flight-italy-sep2026,GRU,VCE,2026-09-01,2026-09-15,4458.0,BRL,LATAM,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
2025-11-17T13:38:45.517781-03:00,flight-italy-sep2026,GRU,VCE,2026-09-01,2026-09-15,4458.0,BRL,Gol,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
